unit_id,message_frame,proof_badge,baseline_familiarity_0_10,activation_score_0_10,friction_guardrail_0_10,assignment_batch
PX-0067,Clarity,Absent,5.36,4.56,1.68,Batch C
PX-0068,Clarity,Verified,7.11,7.12,2.57,Batch C
PX-0069,Momentum,Absent,3.75,4.58,2.04,Batch A
PX-0070,Momentum,Absent,5.8,4.27,2.18,Batch B
PX-0071,Clarity,Verified,5.87,5.8,2.6,Batch A
PX-0072,Clarity,Absent,4.69,3.91,2.66,Batch C
PX-0073,Momentum,Absent,5.78,3.27,2.39,Batch B
PX-0074,Momentum,Verified,5.95,4.4,2.17,Batch A
PX-0075,Momentum,Absent,4.5,3.08,2.47,Batch B
PX-0076,Clarity,Verified,4.76,3.32,2.06,Batch B
PX-0077,Clarity,Verified,4.34,5.56,2.38,Batch C
PX-0078,Clarity,Verified,4.98,5.6,1.96,Batch B
PX-0079,Momentum,Verified,4.04,5.56,3.33,Batch A
PX-0080,Momentum,Verified,3.69,4.94,2.64,Batch C
PX-0081,Clarity,Absent,5.92,4.75,3.06,Batch A
PX-0082,Clarity,Absent,7.06,5.97,4.16,Batch B
PX-0083,Clarity,Verified,4.87,4.62,2.24,Batch C
PX-0084,Clarity,Verified,4.39,3.88,2.37,Batch B
PX-0085,Clarity,Absent,4.66,4.45,3.5,Batch B
PX-0086,Clarity,Verified,5.42,4.71,2.68,Batch A
PX-0087,Clarity,Absent,5.77,4.97,2.38,Batch C
PX-0088,Momentum,Absent,4.92,4.99,2.94,Batch B
PX-0089,Clarity,Absent,5.81,2.91,3.36,Batch A
PX-0090,Clarity,Verified,3.6,4.18,2.57,Batch C
PX-0091,Clarity,Verified,4.95,4.86,3.2,Batch B
PX-0092,Momentum,Absent,6.1,3.63,2.28,Batch A
PX-0093,Momentum,Absent,4.63,2.08,4.13,Batch C
PX-0094,Clarity,Absent,4.7,3.17,1.81,Batch A
PX-0095,Clarity,Verified,3.69,5.21,1.65,Batch A
PX-0096,Clarity,Verified,4.14,4.32,1.82,Batch B
PX-0097,Clarity,Verified,5.36,4.02,2.46,Batch B
PX-0098,Momentum,Verified,4.08,5.46,2.75,Batch C
PX-0099,Momentum,Verified,4.42,6.14,3.15,Batch A
PX-0100,Momentum,Absent,3.9,4.73,3.11,Batch A
PX-0101,Momentum,Absent,5.1,4.78,3.0,Batch C
PX-0102,Clarity,Verified,6.68,4.18,2.83,Batch A
PX-0103,Clarity,Verified,5.95,4.75,3.47,Batch C
PX-0104,Clarity,Absent,5.8,4.83,1.39,Batch A
PX-0105,Clarity,Verified,5.38,5.99,2.85,Batch A
PX-0106,Clarity,Verified,2.71,,1.81,Batch B
PX-0107,Momentum,Absent,6.83,5.08,2.54,Batch B
PX-0108,Clarity,Verified,4.03,4.07,2.6,Batch B
PX-0109,Momentum,Absent,6.14,4.55,1.53,Batch A
PX-0110,Clarity,Verified,2.47,2.19,1.65,Batch C
PX-0111,Momentum,Absent,2.41,2.32,1.8,Batch A
PX-0112,Momentum,Absent,2.23,3.63,1.77,Batch A
PX-0113,Momentum,Verified,5.14,,1.88,Batch A
PX-0114,Clarity,Absent,5.29,3.66,3.08,Batch C
PX-0115,Momentum,Verified,6.24,6.57,1.01,Batch B
PX-0116,Momentum,Verified,3.51,6.01,2.44,Batch A
PX-0117,Clarity,Verified,5.04,6.2,3.16,Batch C
PX-0118,Clarity,Verified,3.76,4.89,2.25,Batch C
PX-0119,Clarity,Verified,6.93,4.99,2.14,Batch A
PX-0120,Clarity,Absent,6.47,3.08,2.73,Batch B
PX-0121,Momentum,Verified,4.21,6.3,0.23,Batch A
PX-0122,Momentum,Absent,6.26,6.19,2.88,Batch A
PX-0123,Clarity,Absent,4.3,3.2,2.5,Batch A
PX-0124,Momentum,Absent,5.71,3.55,1.36,Batch A
PX-0125,Clarity,Absent,3.79,2.52,1.79,Batch A
PX-0126,Clarity,Absent,4.51,2.52,2.57,Batch B
PX-0127,Clarity,Verified,3.95,3.78,3.24,Batch A
PX-0128,Momentum,Absent,5.0,5.47,2.08,Batch C
PX-0129,Clarity,Absent,5.91,5.45,3.65,Batch A
PX-0130,Momentum,Absent,3.62,5.43,1.47,Batch C
PX-0131,Momentum,Verified,4.43,6.21,2.18,Batch C
PX-0132,Clarity,Verified,5.12,4.7,1.78,Batch C
PX-0133,Momentum,Absent,5.48,4.42,3.38,Batch C
PX-0134,Momentum,Absent,3.72,3.16,1.78,Batch A
PX-0135,Momentum,Verified,7.48,8.76,1.28,Batch A
PX-0136,Clarity,Verified,2.64,2.87,1.99,Batch B
PX-0137,Clarity,Verified,4.33,4.43,3.3,Batch C
PX-0138,Clarity,Verified,4.2,5.49,1.73,Batch C
PX-0139,Clarity,Absent,4.04,4.47,3.38,Batch B
PX-0140,Momentum,Verified,4.91,6.4,3.19,Batch A
PX-0141,Momentum,Verified,4.49,5.22,2.6,Batch A
PX-0142,Momentum,Absent,3.99,4.74,3.38,Batch A
PX-0143,Clarity,Verified,4.83,1.61,2.23,Batch C
PX-0144,Clarity,Verified,3.83,4.53,2.31,Batch B
PX-0145,Momentum,Verified,5.92,6.67,4.82,Batch B
PX-0146,Momentum,Verified,3.95,3.0,3.08,Batch B
PX-0147,Momentum,Absent,4.87,3.9,3.58,Batch C
PX-0148,Momentum,Verified,3.46,4.21,1.95,Batch B
PX-0149,Momentum,Absent,6.39,4.5,3.91,Batch A
PX-0150,Momentum,Absent,6.36,4.88,3.29,Batch A
PX-0151,Momentum,Absent,6.06,6.1,2.66,Batch A
PX-0152,Clarity,Absent,4.49,3.52,3.27,Batch C
PX-0153,Clarity,Absent,5.1,5.69,1.59,Batch B
PX-0154,Clarity,Absent,2.89,4.93,3.32,Batch A
PX-0155,Momentum,Absent,4.83,3.69,2.45,Batch B
PX-0156,Clarity,Verified,3.32,5.18,2.12,Batch C
PX-0157,Clarity,Absent,4.33,3.49,2.47,Batch B
PX-0158,Clarity,Absent,5.73,3.69,4.24,Batch B
PX-0159,Momentum,Verified,4.61,6.21,4.5,Batch A
PX-0160,Clarity,Verified,5.33,3.15,2.84,Batch B
PX-0161,Momentum,Absent,5.44,4.78,1.64,Batch B
PX-0162,Clarity,Verified,3.6,6.45,3.16,Batch A
PX-0163,Clarity,Absent,3.41,3.7,4.02,Batch A
PX-0164,Momentum,Verified,6.86,5.9,2.01,Batch B
PX-0165,Clarity,Absent,6.28,2.68,1.64,Batch C
PX-0166,Momentum,Absent,5.23,4.89,2.67,Batch A
PX-0167,Clarity,Absent,3.97,4.42,3.79,Batch B
PX-0168,Clarity,Verified,5.18,4.86,1.55,Batch C
PX-0169,Clarity,Absent,5.25,4.1,2.88,Batch B
PX-0170,Momentum,Absent,4.22,2.35,3.4,Batch C
PX-0171,Momentum,Absent,7.84,5.23,2.36,Batch A
PX-0172,Clarity,Absent,4.51,4.78,0.84,Batch A
PX-0173,Momentum,Verified,5.41,6.06,1.98,Batch B
PX-0174,Clarity,Absent,6.53,7.22,2.85,Batch A
PX-0175,Clarity,Verified,4.48,5.43,2.75,Batch B
PX-0176,Clarity,Verified,4.62,4.92,1.48,Batch C
PX-0177,Momentum,Absent,2.41,5.11,1.88,Batch C
PX-0178,Momentum,Verified,2.34,3.4,3.24,Batch C
PX-0179,Momentum,Verified,4.67,3.73,2.56,Batch A
PX-0180,Momentum,Absent,5.43,4.43,3.33,Batch A
PX-0181,Momentum,Absent,4.97,5.92,2.09,Batch B
PX-0182,Momentum,Verified,5.96,9.08,3.64,Batch C
PX-0183,Momentum,Verified,5.87,8.01,1.93,Batch A
PX-0184,Clarity,Absent,4.79,3.89,1.92,Batch A
PX-0185,Clarity,Verified,4.52,5.05,2.6,Batch C
PX-0186,Clarity,Absent,4.89,4.07,3.96,Batch A
PX-0187,Momentum,Absent,4.11,2.44,3.15,Batch B
PX-0188,Clarity,Verified,3.83,4.9,2.17,Batch B
PX-0189,Clarity,Verified,5.77,4.33,2.75,Batch C
PX-0190,Clarity,Verified,7.39,5.32,2.22,Batch B
PX-0191,Clarity,Verified,4.22,5.99,2.48,Batch C
PX-0192,Momentum,Verified,4.41,7.33,1.75,Batch B
PX-0193,Clarity,Absent,5.17,3.11,1.45,Batch B
PX-0194,Clarity,Absent,3.8,4.37,2.83,Batch A
PX-0195,Clarity,Verified,7.34,9.13,2.53,Batch C
PX-0196,Momentum,Absent,2.49,3.52,3.4,Batch A
PX-0197,Clarity,Verified,4.32,4.64,3.03,Batch A
PX-0198,Clarity,Verified,6.59,6.76,2.61,Batch A
PX-0199,Clarity,Absent,2.73,3.79,2.67,Batch A
PX-0200,Clarity,Verified,3.89,4.79,2.31,Batch A
PX-0201,Momentum,Absent,6.58,5.69,3.32,Batch C
PX-0202,Clarity,Absent,5.03,5.24,3.87,Batch B
PX-0203,Clarity,Verified,5.62,6.54,2.61,Batch C
PX-0204,Clarity,Absent,6.08,5.24,1.92,Batch B
PX-0205,Momentum,Absent,5.85,4.93,0.87,Batch A
PX-0206,Momentum,Verified,3.61,6.49,1.37,Batch A
PX-0207,Clarity,Verified,1.87,2.89,2.14,Batch A
PX-0208,Momentum,Absent,6.7,7.12,2.03,Batch C
PX-0209,Clarity,Absent,4.28,3.96,1.88,Batch B
PX-0210,Clarity,Verified,5.05,3.97,2.55,Batch C
PX-0211,Momentum,Verified,5.87,4.74,2.34,Batch C
PX-0212,Clarity,Verified,4.97,4.51,1.81,Batch C
PX-0213,Momentum,Verified,2.31,6.73,2.8,Batch C
PX-0214,Clarity,Verified,5.77,3.5,2.63,Batch C
PX-0215,Momentum,Verified,4.81,5.2,1.28,Batch B
PX-0216,Momentum,Verified,4.34,5.23,1.72,Batch B
PX-0217,Momentum,Verified,6.05,6.12,3.17,Batch C
PX-0218,Momentum,Absent,4.78,5.4,2.9,Batch B
PX-0219,Momentum,Absent,5.77,4.41,3.61,Batch B
PX-0220,Momentum,Verified,5.18,6.55,3.11,Batch B
PX-0221,Momentum,Verified,4.67,5.46,1.69,Batch A
PX-0222,Momentum,Verified,5.56,6.45,3.27,Batch B
PX-0223,Momentum,Absent,4.68,3.13,4.0,Batch B
PX-0224,Momentum,Verified,6.55,4.59,1.72,Batch A
PX-0225,Clarity,Verified,4.72,7.69,2.47,Batch B
PX-0226,Clarity,Absent,3.47,4.5,3.33,Batch B
PX-0227,Momentum,Absent,2.59,3.27,3.15,Batch A
PX-0228,Momentum,Absent,3.84,3.46,3.06,Batch A
PX-0229,Momentum,Verified,5.82,7.81,3.21,Batch A
PX-0230,Momentum,Verified,5.35,6.23,2.17,Batch C
PX-0231,Momentum,Absent,5.0,5.23,4.28,Batch C
PX-0232,Momentum,Verified,8.46,7.48,1.7,Batch C
PX-0233,Clarity,Absent,5.16,5.43,3.6,Batch A
PX-0234,Clarity,Verified,3.61,3.58,3.03,Batch C
PX-0235,Momentum,Verified,3.8,5.37,1.97,Batch A
PX-0236,Clarity,Absent,4.5,3.65,1.16,Batch A
PX-0237,Momentum,Verified,4.62,6.43,2.61,Batch A
PX-0238,Clarity,Absent,5.38,4.69,3.01,Batch A
PX-0239,Momentum,Absent,2.42,3.53,1.89,Batch C
PX-0240,Clarity,Verified,6.23,4.38,3.48,Batch C
PX-0241,Momentum,Verified,5.4,8.35,2.32,Batch C
PX-0242,Clarity,Verified,3.74,4.03,3.68,Batch C
PX-0243,Clarity,Verified,6.66,3.89,1.95,Batch A
PX-0244,Momentum,Absent,4.67,4.84,3.3,Batch B
PX-0245,Clarity,Absent,5.57,6.21,3.76,Batch B
PX-0246,Momentum,Absent,6.38,,1.03,Batch A
PX-0247,Clarity,Verified,5.98,5.24,1.84,Batch B
PX-0248,Clarity,Absent,3.67,4.88,1.26,Batch C
PX-0249,Momentum,Absent,3.35,4.33,2.35,Batch A
PX-0250,Clarity,Verified,4.48,4.58,3.5,Batch A
PX-0251,Clarity,Verified,3.65,3.68,1.04,Batch A
PX-0252,Clarity,Absent,2.89,3.96,2.73,Batch A
PX-0253,Clarity,Absent,5.42,3.56,3.27,Batch A
PX-0254,Clarity,Verified,4.59,4.44,1.59,Batch B
PX-0255,Momentum,Absent,3.76,3.65,1.3,Batch A
PX-0256,Clarity,Absent,2.06,3.15,1.5,Batch A
PX-0257,Clarity,Verified,4.35,4.79,4.15,Batch B
PX-0258,Clarity,Verified,2.2,3.23,3.18,Batch B
PX-0259,Momentum,Verified,5.0,3.21,1.62,Batch B
PX-0260,Momentum,Verified,4.35,6.26,2.19,Batch C
PX-0261,Momentum,Absent,3.53,2.24,1.6,Batch B
PX-0262,Clarity,Verified,6.1,4.88,2.48,Batch B
PX-0263,Momentum,Verified,4.58,8.2,2.81,Batch B
PX-0264,Momentum,Verified,5.56,4.63,3.56,Batch C
PX-0265,Clarity,Absent,4.71,3.06,3.16,Batch C
PX-0266,Clarity,Absent,5.22,2.17,5.43,Batch A
PX-0267,Momentum,Absent,5.59,4.37,3.54,Batch C
PX-0268,Clarity,Absent,5.27,4.89,3.57,Batch C
PX-0269,Momentum,Verified,6.12,5.52,2.2,Batch C
PX-0270,Momentum,Absent,3.82,5.08,2.24,Batch B
PX-0271,Clarity,Verified,4.71,5.87,3.77,Batch A
PX-0272,Momentum,Verified,4.01,4.68,1.71,Batch A
PX-0273,Clarity,Absent,5.3,7.07,2.52,Batch C
PX-0274,Clarity,Absent,5.32,5.1,1.53,Batch B
PX-0275,Momentum,Absent,6.18,5.76,4.01,Batch B
PX-0276,Clarity,Absent,4.6,4.9,3.65,Batch B
PX-0277,Momentum,Verified,6.47,5.9,2.99,Batch B
PX-0278,Clarity,Verified,3.86,3.31,3.0,Batch B
PX-0279,Clarity,Verified,5.55,4.73,2.82,Batch C
PX-0280,Clarity,Absent,4.07,3.51,2.26,Batch B
PX-0281,Momentum,Absent,3.24,4.43,1.59,Batch C
PX-0282,Clarity,Verified,4.87,4.58,2.08,Batch A
PX-0283,Clarity,Absent,3.91,6.36,3.36,Batch C
PX-0284,Momentum,Verified,5.84,2.78,1.35,Batch C
PX-0285,Clarity,Absent,4.85,4.79,1.7,Batch C
PX-0286,Clarity,Verified,4.51,7.5,2.56,Batch C
PX-0287,Momentum,Absent,4.49,4.52,3.43,Batch B
PX-0288,Momentum,Verified,6.63,5.89,1.1,Batch C
PX-0289,Momentum,Verified,4.19,5.19,4.01,Batch C
PX-0290,Momentum,Absent,4.43,6.03,1.93,Batch B
PX-0291,Momentum,Verified,4.94,,2.35,Batch A
PX-0292,Clarity,Verified,5.77,6.02,2.83,Batch A
PX-0293,Momentum,Absent,2.48,3.23,2.06,Batch A
PX-0294,Clarity,Verified,4.05,3.66,1.7,Batch C
PX-0295,Momentum,Verified,7.39,7.24,2.78,Batch B
PX-0296,Clarity,Absent,4.59,4.24,2.91,Batch C
PX-0297,Clarity,Absent,4.6,3.69,1.67,Batch A
PX-0298,Momentum,Verified,5.36,6.33,1.32,Batch C
PX-0299,Momentum,Verified,5.56,4.17,0.95,Batch A
PX-0300,Momentum,Verified,3.05,,3.37,Batch A
PX-0301,Momentum,Absent,4.0,3.42,3.09,Batch C
PX-0302,Clarity,Verified,6.07,5.34,2.02,Batch A
PX-0303,Momentum,Absent,7.5,5.82,2.09,Batch A
PX-0304,Momentum,Absent,5.76,5.0,2.65,Batch C
PX-0305,Clarity,Absent,4.76,2.94,3.2,Batch B
PX-0306,Momentum,Verified,6.53,6.06,2.74,Batch B
PX-0307,Momentum,Absent,5.17,4.86,3.72,Batch B
PX-0308,Clarity,Absent,4.67,,1.8,Batch B
PX-0309,Momentum,Absent,3.89,4.14,2.28,Batch A
PX-0310,Momentum,Verified,6.17,5.59,2.75,Batch A
PX-0311,Momentum,Absent,6.09,4.5,1.28,Batch C
PX-0312,Momentum,Verified,5.05,6.82,2.7,Batch C
PX-0313,Clarity,Absent,4.86,1.4,2.86,Batch A
PX-0314,Clarity,Verified,3.77,4.66,1.99,Batch C
PX-0315,Clarity,Absent,4.19,3.53,2.36,Batch C
PX-0316,Momentum,Verified,6.11,6.52,2.86,Batch C
PX-0317,Momentum,Verified,5.11,3.75,2.02,Batch B
PX-0318,Momentum,Verified,4.18,6.73,3.02,Batch A
PX-0319,Clarity,Absent,4.88,4.98,2.68,Batch B
PX-0320,Clarity,Absent,4.75,4.91,2.43,Batch B
PX-0321,Clarity,Verified,4.75,5.3,2.85,Batch C
PX-0322,Clarity,Verified,1.69,1.61,2.69,Batch B
PX-0323,Clarity,Absent,4.19,5.31,2.84,Batch A
PX-0324,Momentum,Absent,6.41,3.11,3.77,Batch A
PX-0325,Clarity,Absent,3.6,2.24,3.37,Batch C
PX-0326,Clarity,Verified,3.68,3.05,4.18,Batch A
PX-0327,Momentum,Absent,6.73,7.72,2.1,Batch B
PX-0328,Momentum,Verified,5.62,8.43,3.9,Batch C
PX-0329,Clarity,Absent,4.8,4.42,3.75,Batch B
PX-0330,Clarity,Verified,5.09,3.92,2.9,Batch C
PX-0331,Momentum,Absent,5.28,6.93,0.9,Batch C
PX-0332,Momentum,Verified,3.76,5.97,3.87,Batch A
PX-0333,Clarity,Absent,3.56,2.28,3.07,Batch C
PX-0334,Clarity,Absent,4.79,5.13,2.9,Batch A
PX-0335,Momentum,Verified,5.0,3.16,1.5,Batch B
PX-0336,Clarity,Absent,6.66,5.6,3.07,Batch C
PX-0337,Momentum,Verified,4.39,5.29,2.1,Batch A
PX-0338,Momentum,Verified,6.33,6.14,3.19,Batch B
PX-0339,Clarity,Verified,3.69,4.79,3.25,Batch C
PX-0340,Clarity,Absent,4.93,3.21,4.76,Batch B
PX-0341,Clarity,Absent,3.98,5.18,1.0,Batch C
PX-0342,Momentum,Absent,5.96,4.84,2.59,Batch A
PX-0343,Clarity,Absent,5.5,,3.17,Batch A
PX-0344,Momentum,Verified,6.28,5.54,1.93,Batch A
PX-0345,Momentum,Verified,3.81,5.42,1.67,Batch A
PX-0346,Clarity,Verified,5.95,4.1,1.74,Batch B
PX-0347,Momentum,Absent,3.8,4.31,2.64,Batch B
PX-0348,Momentum,Verified,4.71,,2.26,Batch B
PX-0349,Clarity,Absent,4.7,1.73,2.8,Batch B
PX-0350,Momentum,Verified,4.91,4.55,2.39,Batch B
PX-0351,Momentum,Verified,4.58,4.78,1.36,Batch B
PX-0352,Clarity,Verified,4.71,4.84,3.91,Batch A
PX-0353,Clarity,Absent,3.88,4.19,2.72,Batch C
PX-0354,Clarity,Verified,3.86,,1.83,Batch C
PX-0355,Clarity,Verified,5.76,3.46,2.56,Batch C
PX-0356,Momentum,Absent,7.32,3.71,2.17,Batch C
PX-0357,Clarity,Absent,4.99,4.17,3.85,Batch A
PX-0358,Momentum,Absent,6.45,5.52,2.26,Batch B
PX-0359,Momentum,Absent,5.1,,2.62,Batch B
PX-0360,Clarity,Absent,3.21,3.82,2.74,Batch A
PX-0361,Clarity,Absent,6.11,4.18,2.23,Batch B
PX-0362,Momentum,Absent,4.87,5.53,2.9,Batch B
PX-0363,Momentum,Absent,5.33,3.72,2.16,Batch A
PX-0364,Momentum,Verified,2.38,4.18,2.55,Batch B
PX-0365,Momentum,Verified,4.74,5.78,3.31,Batch B
PX-0366,Clarity,Absent,6.26,4.03,2.43,Batch C
PX-0367,Clarity,Verified,4.77,4.49,2.03,Batch B
PX-0368,Clarity,Absent,3.58,3.83,3.91,Batch C
PX-0369,Clarity,Verified,5.26,3.79,0.93,Batch A
PX-0370,Momentum,Verified,5.47,,2.29,Batch C
PX-0371,Clarity,Absent,4.86,4.17,3.83,Batch B
PX-0372,Clarity,Absent,5.88,3.98,2.77,Batch A
PX-0373,Clarity,Verified,8.25,5.02,2.51,Batch C
PX-0374,Clarity,Verified,5.62,4.95,2.56,Batch C
PX-0375,Clarity,Absent,5.13,2.8,3.67,Batch A
PX-0376,Momentum,Absent,5.45,4.8,2.05,Batch B
PX-0377,Clarity,Verified,3.42,5.01,3.11,Batch C
PX-0378,Momentum,Verified,7.58,7.39,3.16,Batch C
PX-0379,Clarity,Absent,3.88,1.79,1.38,Batch A
PX-0380,Clarity,Absent,2.1,2.5,2.49,Batch C
PX-0381,Momentum,Verified,4.37,,2.04,Batch C
PX-0382,Momentum,Absent,3.41,3.61,1.95,Batch A
PX-0383,Clarity,Absent,4.17,2.37,3.9,Batch C
PX-0384,Momentum,Absent,3.85,4.12,2.74,Batch C
PX-0385,Clarity,Absent,5.32,4.85,3.28,Batch C
PX-0386,Clarity,Verified,1.36,0.95,2.95,Batch A
PX-0387,Clarity,Absent,2.71,3.81,2.95,Batch B
PX-0388,Momentum,Verified,3.28,5.3,2.23,Batch B
PX-0389,Momentum,Verified,2.57,4.52,2.12,Batch B
PX-0390,Clarity,Verified,3.94,4.68,2.99,Batch C
PX-0391,Momentum,Absent,5.52,5.26,3.31,Batch C
PX-0392,Clarity,Verified,4.38,6.71,3.33,Batch A
PX-0393,Clarity,Absent,3.51,3.99,1.99,Batch A
PX-0394,Clarity,Absent,5.69,5.76,2.54,Batch C
PX-0395,Momentum,Verified,5.48,5.8,2.76,Batch B
PX-0396,Clarity,Absent,4.56,4.16,1.91,Batch C
PX-0397,Momentum,Absent,6.04,4.59,2.85,Batch C
PX-0398,Clarity,Absent,4.72,5.43,2.08,Batch B
PX-0399,Clarity,Absent,4.62,5.26,1.89,Batch B
PX-0400,Clarity,Absent,5.2,5.17,2.72,Batch C
PX-0401,Momentum,Verified,6.07,7.88,1.65,Batch C
PX-0402,Clarity,Absent,2.54,3.91,1.42,Batch B
PX-0403,Momentum,Absent,6.0,6.46,2.8,Batch A
PX-0404,Clarity,Absent,6.4,6.36,2.77,Batch C
PX-0405,Momentum,Verified,3.71,8.42,2.29,Batch A
PX-0406,Momentum,Absent,4.07,4.43,3.43,Batch B
PX-0407,Clarity,Verified,5.63,4.78,2.48,Batch A
PX-0408,Momentum,Absent,5.3,3.98,2.39,Batch C
PX-0409,Clarity,Verified,2.59,2.22,3.07,Batch A
PX-0410,Clarity,Absent,5.41,4.27,3.09,Batch C
PX-0411,Clarity,Verified,6.33,3.59,2.44,Batch A
PX-0412,Momentum,Absent,4.03,3.87,2.71,Batch C
PX-0413,Momentum,Absent,4.27,4.64,2.33,Batch B
PX-0414,Momentum,Absent,5.02,4.72,1.93,Batch B
PX-0415,Momentum,Absent,3.31,2.75,3.68,Batch A
PX-0416,Clarity,Verified,6.34,6.65,1.69,Batch A
PX-0417,Momentum,Verified,4.52,7.57,2.98,Batch B
PX-0418,Clarity,Verified,3.48,3.95,3.04,Batch B
PX-0419,Clarity,Verified,4.73,2.88,2.25,Batch A
PX-0420,Momentum,Absent,4.45,6.04,3.24,Batch C
PX-0421,Clarity,Absent,2.34,3.21,2.15,Batch B
PX-0422,Clarity,Absent,3.19,3.77,2.05,Batch A
PX-0423,Clarity,Verified,6.51,6.98,1.74,Batch B
PX-0424,Clarity,Verified,5.87,4.84,2.84,Batch A
PX-0425,Momentum,Absent,2.94,2.07,0.75,Batch C
PX-0426,Clarity,Verified,3.07,5.45,2.92,Batch A
PX-0427,Clarity,Absent,5.26,4.34,2.04,Batch A
PX-0428,Clarity,Verified,2.52,3.1,1.57,Batch A
PX-0429,Clarity,Verified,5.93,6.22,2.33,Batch C
PX-0430,Momentum,Verified,4.91,5.26,1.56,Batch B
PX-0431,Clarity,Absent,3.79,,1.92,Batch A
PX-0432,Clarity,Verified,4.45,5.26,2.75,Batch B
PX-0433,Momentum,Absent,4.16,3.9,2.94,Batch A
PX-0434,Momentum,Verified,4.74,5.51,2.8,Batch A
PX-0435,Clarity,Verified,5.56,5.04,0.71,Batch C
